carat,cut,color,clarity,depth,table,x,y,z,price
0.54,Premium,E,SI1,62.3,57.0,5.23,5.18,3.24,1389
0.3,Premium,H,VS1,62.6,59.0,4.27,4.25,2.67,524
1.5,Good,J,VS2,63.6,56.0,7.27,7.15,4.59,7506
0.31,Ideal,F,VS2,62.6,57.0,4.28,4.31,2.69,625
1.19,Ideal,G,VS1,61.4,56.0,6.87,6.89,4.22,9424
0.52,Ideal,E,VS2,62.7,55.0,5.1,5.15,3.22,1743
1.0,Ideal,E,VS2,62.1,57.0,6.32,6.26,3.92,7072
0.33,Very Good,G,VS2,61.2,56.0,4.44,4.48,2.73,579
0.31,Ideal,E,VS2,61.3,56.0,4.37,4.39,2.69,872
0.52,Very Good,E,SI2,61.5,61.0,5.16,5.2,3.18,1207
2.31,Premium,H,SI2,62.4,58.0,8.54,8.49,5.28,12931
1.14,Ideal,G,SI1,61.0,55.0,6.79,6.74,4.13,6213
0.38,Ideal,I,VS1,62.6,54.0,4.64,4.61,2.89,849
0.73,Ideal,E,SI2,61.3,55.0,5.77,5.82,3.55,2441
1.51,Very Good,G,VS1,62.8,58.0,7.25,7.3,4.57,14234
0.32,Ideal,D,SI1,60.8,56.0,4.47,4.44,2.71,756
0.51,Ideal,D,VS1,62.7,55.0,5.14,5.17,3.23,1963
0.34,Ideal,E,VS1,62.3,56.0,4.46,4.48,2.78,726
0.3,Ideal,G,IF,62.1,55.0,4.29,4.31,2.67,863
0.36,Ideal,F,SI1,61.9,55.0,4.6,4.56,2.83,770
1.01,Premium,D,SI1,62.2,58.0,6.43,6.4,3.99,6138
0.71,Ideal,D,VS1,59.9,57.0,5.81,5.84,3.49,3609
0.42,Ideal,H,VVS2,62.7,56.0,4.77,4.79,3.0,998
0.37,Premium,E,SI1,59.3,58.0,4.73,4.75,2.81,833
1.13,Ideal,G,VS2,61.9,57.0,6.67,6.69,4.14,6604
0.5,Ideal,J,VS2,60.7,57.0,5.09,5.13,3.12,1135
0.71,Very Good,E,SI2,59.2,62.0,5.84,5.85,3.47,2753
0.72,Very Good,F,SI1,62.1,56.0,5.73,5.74,3.56,2670
1.01,Good,E,I1,63.1,58.0,6.34,6.41,4.01,3669
1.61,Premium,H,SI2,61.0,59.0,7.59,7.52,4.61,8869
1.01,Very Good,F,SI2,63.1,57.0,6.34,6.29,3.98,3701
1.61,Ideal,H,SI1,62.0,56.0,7.48,7.51,4.65,9625
0.71,Premium,H,SI2,60.7,58.0,5.82,5.78,3.52,2263
0.31,Ideal,G,IF,61.7,54.0,4.39,4.43,2.72,949
0.91,Ideal,G,I1,62.9,56.0,6.17,6.13,3.86,360
0.73,Ideal,D,VS2,61.4,57.0,5.79,5.81,3.57,3167
0.3,Premium,D,SI1,62.0,58.0,4.31,4.36,2.69,709
1.56,Premium,F,VS2,60.7,58.0,7.56,7.51,4.57,14294
0.51,Ideal,F,VVS2,61.9,55.0,5.12,5.15,3.18,2092
0.5,Ideal,D,VS2,61.0,56.0,5.12,5.17,3.14,1835
1.54,Premium,F,VS2,61.3,58.0,7.4,7.36,4.53,17168
1.01,Premium,I,SI1,62.4,58.0,6.45,6.39,4.0,4688
0.93,Premium,F,SI2,61.5,59.0,6.23,6.2,3.82,3987
1.07,Premium,D,SI2,61.1,59.0,6.64,6.61,4.05,4711
0.5,Premium,F,VS2,62.3,58.0,5.07,5.09,3.16,1548
1.0,Good,I,VS2,63.3,58.0,6.33,6.4,4.03,4398
1.55,Ideal,J,VS1,61.6,55.0,7.42,7.47,4.58,9524
2.01,Ideal,G,SI2,62.5,57.0,8.07,8.11,5.06,14406
0.3,Ideal,G,VS1,61.9,57.0,4.29,4.33,2.66,605
0.42,Good,D,SI1,63.3,57.0,4.76,4.8,3.02,660
0.3,Premium,I,SI1,62.0,59.0,4.32,4.25,2.66,506
0.59,Premium,F,SI1,61.3,58.0,5.39,5.36,3.3,1664
0.96,Premium,D,SI2,59.2,62.0,6.48,6.43,3.83,3634
0.35,Premium,G,VVS1,60.7,60.0,4.53,4.55,2.76,1028
1.51,Premium,E,VS1,62.5,59.0,7.34,7.38,4.6,16811
0.55,Premium,G,SI1,61.4,56.0,5.32,5.28,3.25,1415
0.39,Very Good,H,IF,63.0,55.0,4.66,4.7,2.95,1034
2.01,Premium,I,VS2,61.6,59.0,8.09,8.06,5.0,16857
1.11,Very Good,H,VS2,62.2,57.0,6.57,6.66,4.12,6529
0.33,Ideal,F,VVS2,61.7,56.0,4.44,4.46,2.75,1114
0.33,Ideal,I,SI1,60.4,56.0,4.49,4.47,2.7,445
0.51,Premium,G,VVS1,60.7,58.0,5.17,5.23,3.16,1987
0.5,Premium,G,SI2,61.0,59.0,5.09,5.02,3.1,1125
1.5,Ideal,J,VS2,62.3,55.0,7.37,7.34,4.58,7819
1.27,Premium,H,SI1,62.0,59.0,6.91,6.99,4.3,5107
1.19,Premium,I,VS2,62.2,60.0,6.83,6.78,4.23,5000
1.52,Premium,J,VS1,62.8,59.0,7.33,7.27,4.59,8818
0.35,Premium,D,VS1,61.2,59.0,4.52,4.55,2.77,792
0.4,Ideal,G,VS2,61.9,55.0,4.69,4.73,2.92,772
0.34,Ideal,F,VVS1,62.4,55.0,4.46,4.5,2.8,890
1.22,Good,G,SI1,63.3,57.0,6.82,6.86,4.34,7423
1.01,Ideal,H,SI1,62.1,56.0,6.39,6.45,3.99,4461
1.56,Premium,H,VS1,60.9,59.0,7.53,7.46,4.58,11681
0.72,Good,E,VS2,63.8,60.0,5.68,5.59,3.59,2962
0.32,Ideal,G,VS1,61.3,55.0,4.44,4.41,2.71,828
0.31,Premium,I,VS2,59.5,59.0,4.41,4.44,2.63,523
0.37,Ideal,D,VVS2,61.0,56.0,4.67,4.64,2.85,1124
1.51,Ideal,E,SI1,62.6,57.0,7.31,7.26,4.57,12596
1.56,Ideal,J,VS2,60.5,57.0,7.52,7.46,4.54,6112
0.31,Very Good,D,VS2,62.3,59.0,4.32,4.36,2.7,566
0.5,Ideal,F,SI1,62.6,53.0,5.09,5.12,3.19,1214
1.53,Very Good,F,SI1,62.3,58.0,7.37,7.41,4.6,10962
0.9,Good,H,SI1,64.3,54.0,6.1,6.12,3.93,2975
0.54,Very Good,D,VS2,61.8,60.0,5.17,5.23,3.21,1758
1.05,Ideal,G,VS1,62.3,56.0,6.52,6.49,4.06,7699
0.46,Very Good,J,SI2,62.0,60.0,4.92,4.95,3.06,835
0.9,Premium,F,SI2,62.7,59.0,6.11,6.07,3.81,3704
0.73,Ideal,F,SI1,62.3,57.0,5.77,5.74,3.58,2607
2.42,Ideal,H,SI2,61.4,57.0,8.6,8.64,5.27,16628
0.4,Premium,H,VVS1,61.4,58.0,4.74,4.76,2.92,1047
0.56,Ideal,D,VS2,61.8,56.0,5.31,5.28,3.27,2030
0.3,Ideal,H,VS1,61.9,57.0,4.3,4.33,2.67,545
0.39,Ideal,E,VVS2,61.2,57.0,4.66,4.68,2.86,1300
0.31,Ideal,D,SI1,62.0,54.0,4.39,4.36,2.71,709
0.52,Ideal,G,SI2,61.9,56.0,5.16,5.19,3.2,1240
0.6,Very Good,F,SI1,61.2,59.0,5.37,5.41,3.3,1646
1.21,Ideal,G,SI1,60.9,58.0,6.85,6.88,4.18,6587
0.31,Ideal,D,SI1,62.6,57.0,4.31,4.35,2.7,593
0.52,Very Good,I,SI2,63.2,57.0,5.12,5.09,3.23,1044
0.41,Ideal,F,VVS1,61.4,56.0,4.78,4.8,2.94,1295
0.51,Ideal,E,VS2,62.2,55.0,5.13,5.15,3.2,1915
0.32,Ideal,G,VS2,61.9,57.0,4.39,4.41,2.72,561
2.0,Fair,E,VS2,65.8,56.0,7.85,7.79,5.09,16064
0.35,Ideal,F,IF,61.0,55.0,4.55,4.58,2.79,1044
0.56,Ideal,D,VS2,62.1,55.0,5.29,5.33,3.3,1822
0.32,Ideal,H,VS2,61.9,55.0,4.43,4.46,2.75,505
0.56,Premium,F,VS2,60.9,59.0,5.31,5.35,3.24,1587
0.24,Ideal,H,VS1,61.6,54.0,3.99,4.01,2.48,419
0.4,Ideal,H,VVS2,62.0,56.0,4.69,4.73,2.92,886
0.71,Premium,G,SI1,59.7,60.0,5.81,5.79,3.46,2368
0.91,Ideal,I,SI1,59.8,57.0,6.27,6.3,3.76,2866
0.37,Premium,F,VVS1,60.9,59.0,4.71,4.68,2.86,1142
0.35,Ideal,H,VVS1,62.5,57.0,4.55,4.5,2.83,984
1.0,Premium,E,VS2,60.0,59.0,6.41,6.45,3.86,6272
0.31,Ideal,J,VS1,61.9,55.0,4.4,4.37,2.71,434
0.57,Ideal,H,VS1,62.6,56.0,5.27,5.29,3.31,1760
0.71,Very Good,I,VS1,61.4,58.0,5.73,5.76,3.52,2422
1.17,Ideal,F,SI1,62.0,56.0,6.73,6.78,4.18,6466
1.98,Ideal,F,SI2,62.5,55.0,8.07,8.04,5.02,14281
0.53,Premium,H,SI1,60.6,61.0,5.22,5.2,3.16,1348
0.51,Very Good,J,SI1,63.2,56.0,5.09,5.07,3.21,957
2.0,Ideal,H,SI2,60.7,57.0,8.07,8.15,4.93,13109
1.05,Ideal,F,VS1,61.8,56.0,6.51,6.54,4.03,6526
0.42,Premium,E,SI1,59.4,61.0,4.89,4.85,2.9,882
0.74,Very Good,H,SI1,60.9,57.0,5.86,5.9,3.57,2554
0.32,Premium,F,SI2,61.5,58.0,4.32,4.36,2.67,421
1.0,Good,D,SI1,63.7,57.0,6.15,6.24,3.94,4678
1.54,Ideal,G,VS2,62.4,57.0,7.37,7.31,4.59,13135
0.92,Ideal,H,SI1,61.6,57.0,6.25,6.24,3.85,4355
1.01,Ideal,F,VS2,62.3,55.0,6.43,6.4,4.0,6768
1.03,Ideal,D,SI2,61.0,57.0,6.51,6.54,3.98,4397
0.5,Ideal,H,VVS2,62.5,55.0,5.07,5.11,3.18,1583
0.81,Premium,F,VS1,61.6,60.0,5.93,5.96,3.67,3725
0.7,Good,J,VVS2,64.3,56.0,5.52,5.56,3.57,2064
0.71,Ideal,I,VS1,62.4,54.0,5.71,5.75,3.57,2364
0.9,Very Good,H,VS2,63.3,59.0,6.1,6.07,3.86,3817
0.31,Ideal,G,IF,62.2,55.0,4.36,4.39,2.72,786
0.9,Premium,E,SI2,62.0,62.0,6.16,6.1,3.8,4007
0.54,Ideal,F,VVS2,61.8,56.0,5.22,5.22,3.23,2074
0.75,Premium,H,VS2,61.7,60.0,5.83,5.79,3.59,2515
1.04,Ideal,F,SI2,61.7,57.0,6.5,6.51,4.02,4457
0.41,Very Good,H,IF,63.2,55.0,4.77,4.74,3.01,1197
0.93,Good,H,SI2,61.8,63.0,6.24,6.21,3.85,2949
0.32,Very Good,I,SI1,62.7,58.0,4.38,4.35,2.74,432
1.11,Ideal,E,SI1,62.4,54.0,6.66,6.69,4.17,6973
1.01,Premium,E,VS2,61.2,58.0,6.48,6.43,3.95,7240
0.41,Very Good,F,VS1,62.9,56.0,4.7,4.74,2.97,1007
0.33,Very Good,I,VVS2,62.0,58.0,4.42,4.46,2.75,579
2.01,Premium,G,SI1,61.6,56.0,8.16,8.12,5.02,18531
1.05,Ideal,H,VS2,61.8,57.0,6.53,6.56,4.04,5817
1.54,Premium,I,VS1,62.5,58.0,7.37,7.3,4.58,11094
1.12,Ideal,H,SI1,62.5,55.0,6.66,6.62,4.14,5649
1.04,Good,H,VS1,63.6,58.0,6.46,6.4,4.08,5864
1.0,Good,H,SI1,58.0,62.0,6.56,6.58,3.81,4570
0.53,Ideal,F,SI2,61.2,56.0,5.22,5.29,3.22,1142
0.73,Ideal,F,SI1,61.0,56.0,5.77,5.82,3.53,2671
0.39,Ideal,F,VS2,61.9,54.0,4.67,4.7,2.9,826
0.72,Ideal,G,SI2,61.3,55.0,5.77,5.79,3.54,2106
0.9,Very Good,I,SI1,62.2,58.0,6.12,6.19,3.84,2854
0.54,Ideal,G,SI2,60.9,56.0,5.24,5.31,3.21,1185
0.3,Very Good,G,SI2,62.9,54.0,4.28,4.25,2.69,394
0.33,Ideal,H,IF,61.0,55.0,4.5,4.48,2.74,889
0.55,Ideal,E,SI1,62.0,57.0,5.28,5.25,3.27,1581
0.9,Very Good,G,VS2,63.5,58.0,6.1,6.09,3.88,4165
0.81,Ideal,G,VS2,62.4,57.0,5.92,5.96,3.69,3338
0.51,Premium,D,VS2,60.5,60.0,5.28,5.24,3.18,1727
0.7,Ideal,G,VS1,62.9,55.0,5.63,5.67,3.55,2509
1.01,Ideal,G,SI1,61.2,57.0,6.45,6.39,3.91,4764
0.51,Ideal,D,SI1,61.0,56.0,5.17,5.14,3.15,1662
0.7,Very Good,E,SI1,61.0,57.0,5.69,5.74,3.49,2578
0.7,Ideal,E,SI1,61.6,56.0,5.72,5.68,3.51,2576
1.01,Ideal,E,VS2,62.3,57.0,6.45,6.4,4.0,6600
1.2,Ideal,G,VS1,61.8,57.0,6.8,6.84,4.21,8639
0.33,Premium,G,VVS1,60.9,60.0,4.46,4.44,2.71,740
0.71,Ideal,E,VS2,61.0,56.0,5.74,5.77,3.51,3053
1.51,Premium,H,VS2,59.2,59.0,7.53,7.49,4.44,11011
1.26,Premium,H,VS1,62.6,59.0,6.88,6.83,4.29,6746
0.33,Ideal,G,VS2,61.4,55.0,4.45,4.48,2.73,743
0.81,Ideal,F,SI1,62.2,56.0,5.95,5.97,3.72,3205
1.01,Ideal,F,SI2,62.7,56.0,6.4,6.43,4.02,4017
0.3,Premium,F,VS2,61.3,60.0,4.34,4.31,2.65,776
0.56,Ideal,F,VS2,62.7,57.0,5.26,5.28,3.3,1627
0.7,Very Good,F,VS1,61.9,58.0,5.66,5.69,3.51,2889
0.51,Ideal,E,VVS2,60.1,56.0,5.24,5.26,3.15,2165
2.01,Ideal,G,SI1,62.9,55.0,8.04,8.1,5.06,18756
1.51,Premium,F,SI2,63.0,57.0,7.26,7.31,4.61,7695
0.43,Ideal,G,VS2,60.9,55.0,4.91,4.92,3.01,1059
0.5,Ideal,E,SI1,63.0,54.0,4.99,5.02,3.17,1333
0.71,Ideal,F,SI1,61.8,56.0,5.73,5.76,3.55,2241
0.7,Good,G,VS1,59.4,62.0,5.76,5.82,3.45,2833
0.32,Ideal,G,VS1,62.3,55.0,4.4,4.38,2.73,828
0.55,Ideal,G,VS2,61.7,55.0,5.26,5.3,3.25,1440
1.52,Ideal,H,SI2,61.8,56.0,7.41,7.37,4.56,8257
1.01,Ideal,G,VVS2,61.5,57.0,6.49,6.39,3.96,7662
1.01,Good,H,SI1,63.1,60.0,6.34,6.44,4.03,4702
0.31,Ideal,E,VS1,61.9,56.0,4.35,4.4,2.71,734
0.3,Ideal,I,VS2,62.5,57.0,4.28,4.25,2.67,558
1.2,Very Good,I,SI1,63.3,56.0,6.75,6.7,4.25,5016
0.35,Ideal,E,VVS1,60.1,56.0,4.59,4.63,2.78,1096
0.75,Ideal,D,SI1,61.7,55.0,5.84,5.88,3.61,3105
0.3,Ideal,H,VS1,62.6,54.0,4.28,4.3,2.69,631
0.23,Very Good,D,VVS2,62.1,58.0,3.94,3.97,2.45,472
1.58,Premium,H,SI1,61.4,58.0,7.48,7.45,4.59,9596
0.31,Ideal,G,IF,61.3,55.0,4.39,4.41,2.7,891
0.3,Very Good,E,SI1,62.3,58.0,4.25,4.28,2.66,526
0.51,Premium,E,VS2,62.6,58.0,5.08,5.13,3.2,1651
0.5,Ideal,F,VS2,61.7,56.0,5.1,5.12,3.15,1654
0.4,Very Good,I,VVS1,61.6,59.0,4.73,4.75,2.91,882
0.51,Very Good,F,SI1,63.5,58.0,5.07,5.03,3.2,1250
0.4,Ideal,G,IF,62.1,56.0,4.74,4.76,2.95,1207
0.38,Ideal,F,VS1,62.0,54.0,4.65,4.67,2.89,803
0.96,Ideal,G,SI2,59.9,56.0,6.45,6.41,3.87,3652
2.14,Ideal,H,SI2,62.8,56.0,8.22,8.26,5.18,15134
0.54,Very Good,H,VS2,62.3,59.0,5.15,5.18,3.22,1392
0.71,Ideal,D,SI2,62.1,57.0,5.7,5.73,3.55,2482
0.92,Premium,E,SI1,61.7,59.0,6.24,6.2,3.84,4562
1.54,Ideal,H,SI1,61.3,56.0,7.44,7.45,4.57,11081
0.32,Ideal,G,IF,62.0,57.0,4.39,4.35,2.71,956
1.54,Premium,G,SI1,60.9,58.0,7.4,7.44,4.51,11163
0.33,Ideal,G,VVS2,60.9,57.0,4.45,4.49,2.72,943
0.3,Ideal,F,IF,61.9,57.0,4.28,4.31,2.66,886
0.33,Ideal,I,VVS2,61.8,56.0,4.48,4.45,2.76,743
0.9,Very Good,I,VS2,62.5,58.0,6.13,6.15,3.83,3139
1.01,Ideal,F,VS2,59.7,56.0,6.56,6.59,3.92,6795
0.31,Good,G,VS1,61.7,64.0,4.26,4.3,2.65,672
0.4,Premium,I,VS1,61.0,60.0,4.75,4.72,2.89,945
1.29,Ideal,G,VS2,61.7,55.0,6.93,6.96,4.29,7415
0.54,Premium,E,VS2,60.0,59.0,5.28,5.34,3.17,1847
0.3,Premium,F,VVS1,60.4,58.0,4.37,4.4,2.65,741
0.52,Ideal,F,VS2,62.2,56.0,5.11,5.13,3.19,1625
1.23,Good,F,VVS2,63.1,56.0,6.81,6.84,4.32,10748
1.0,Premium,E,SI2,62.7,57.0,6.29,6.31,3.95,3584
0.36,Very Good,F,VVS2,60.0,58.0,4.67,4.64,2.79,958
0.53,Ideal,G,VS1,60.8,56.0,5.25,5.3,3.21,1908
0.7,Good,E,SI1,63.8,55.0,5.61,5.57,3.57,2549
2.01,Premium,J,VS2,61.6,60.0,8.13,8.08,4.97,15338
1.03,Very Good,H,SI2,63.3,58.0,6.37,6.41,4.05,3579
0.32,Good,H,SI1,63.1,57.0,4.34,4.38,2.75,419
0.5,Good,F,VS2,63.2,58.0,5.0,5.03,3.17,1442
0.51,Very Good,D,SI1,61.8,59.0,5.1,5.13,3.16,1684
0.48,Ideal,G,VS1,62.1,58.0,5.01,5.04,3.11,1438
0.34,Very Good,F,VS2,61.7,55.0,4.49,4.52,2.78,686
0.51,Very Good,G,VVS1,62.1,59.0,5.07,5.1,3.16,1839
0.86,Premium,H,VS2,59.6,59.0,6.19,6.12,3.65,3379
1.01,Very Good,E,VS2,58.3,60.0,6.48,6.52,3.78,6147
0.24,Ideal,F,VS1,61.8,57.0,4.02,4.05,2.48,536
0.34,Ideal,E,SI1,62.6,57.0,4.4,4.43,2.77,765
0.9,Good,H,VVS2,63.6,59.0,6.05,6.12,3.88,4205
0.31,Very Good,G,SI1,63.1,55.0,4.31,4.34,2.73,593
0.31,Ideal,F,VVS1,61.8,55.0,4.33,4.37,2.69,741
1.01,Ideal,H,SI1,62.6,56.0,6.43,6.46,4.03,5387
0.31,Ideal,H,VS2,62.5,53.0,4.35,4.33,2.71,628
0.4,Ideal,E,VS2,62.0,55.0,4.77,4.74,2.95,1024
0.54,Ideal,E,SI1,60.9,56.0,5.25,5.3,3.21,1688
0.53,Ideal,E,SI1,61.5,56.0,5.19,5.23,3.2,1662
1.2,Ideal,G,VS1,62.0,56.0,6.89,6.74,4.23,8092
2.0,Fair,E,SI2,64.5,59.0,7.7,7.8,5.09,9900
0.32,Ideal,E,VS2,61.8,54.0,4.42,4.38,2.72,900
1.7,Premium,I,VS2,59.0,60.0,7.82,7.72,4.62,10479
0.5,Very Good,E,VS2,62.8,56.0,4.98,5.03,3.14,1601
0.81,Ideal,G,SI1,62.0,58.0,5.97,5.94,3.7,3614
0.39,Premium,F,SI2,62.2,58.0,4.7,4.67,2.92,748
2.01,Ideal,J,SI2,61.1,60.0,8.16,8.09,4.97,11962
1.0,Very Good,F,VS1,60.6,63.0,6.54,6.48,3.94,6095
2.02,Very Good,H,SI2,63.1,60.0,8.1,8.03,5.05,15962
0.5,Fair,G,SI1,62.8,66.0,5.03,4.94,3.13,1155
1.54,Ideal,G,VS1,62.0,56.0,7.45,7.42,4.6,15291
0.34,Ideal,G,VVS2,61.6,57.0,4.5,4.47,2.76,995
2.09,Premium,I,SI2,60.9,61.0,8.21,8.16,4.99,15162
0.41,Premium,E,VS1,61.4,59.0,4.76,4.79,2.93,1079
0.4,Ideal,F,VVS2,60.9,57.0,4.8,4.77,2.91,1088
0.34,Ideal,H,VVS1,61.2,55.0,4.54,4.56,2.78,775
0.5,Ideal,E,VS1,61.8,55.0,5.07,5.11,3.16,1819
1.01,Ideal,I,SI2,62.4,55.0,6.38,6.46,4.0,3729
0.5,Premium,F,SI2,62.8,62.0,5.04,5.01,3.16,956
0.7,Ideal,G,VS1,61.0,58.0,5.74,5.79,3.52,2568
0.92,Premium,F,SI1,62.9,58.0,6.15,6.18,3.88,4586
0.71,Ideal,D,VS2,62.1,55.0,5.73,5.77,3.57,2874
0.41,Ideal,F,SI2,62.1,55.0,4.78,4.82,2.98,764
0.73,Ideal,E,SI1,62.0,55.0,5.77,5.8,3.6,2596
0.38,Ideal,E,VS2,62.2,55.0,4.63,4.66,2.89,866
1.24,Premium,H,VVS2,62.4,58.0,6.88,6.83,4.28,7953
1.2,Premium,D,SI2,62.8,56.0,6.82,6.7,4.24,7539
1.09,Premium,H,SI1,62.0,58.0,6.59,6.61,4.1,4355
0.51,Ideal,E,SI2,62.6,55.0,5.08,5.13,3.2,1286
0.3,Very Good,G,VS1,61.2,60.0,4.3,4.33,2.64,605
2.25,Premium,J,SI2,62.4,58.0,8.35,8.29,5.2,13200
1.02,Very Good,F,SI2,63.3,59.0,6.38,6.42,4.05,4318
0.51,Ideal,D,VS1,61.9,56.0,5.11,5.14,3.17,1822
0.56,Ideal,G,VS2,61.5,56.0,5.29,5.26,3.24,1698
0.32,Ideal,G,VS1,61.4,55.0,4.44,4.47,2.74,828
1.11,Premium,I,SI2,62.2,58.0,6.6,6.63,4.12,3975
0.31,Premium,H,VVS2,62.1,58.0,4.31,4.38,2.7,625
0.52,Ideal,H,VS1,61.6,57.0,5.17,5.14,3.17,1573
1.52,Premium,F,SI1,62.4,55.0,7.35,7.3,4.58,11284
0.56,Ideal,E,SI1,61.5,56.0,5.34,5.3,3.27,1593
0.81,Ideal,I,SI2,61.3,56.0,5.96,5.99,3.68,2383
0.3,Premium,G,VVS1,61.2,58.0,4.33,4.35,2.65,789
0.32,Ideal,G,VS2,61.9,57.0,4.38,4.4,2.72,561
1.5,Premium,J,VS2,60.9,58.0,7.38,7.41,4.5,5500
2.09,Very Good,G,SI2,60.4,62.0,8.21,8.25,4.99,18445
2.01,Premium,J,SI2,62.6,61.0,8.02,7.95,4.99,12989
0.51,Very Good,D,SI1,62.7,58.0,5.09,5.12,3.2,1397
1.01,Premium,F,VS2,60.8,58.0,6.53,6.49,3.95,7272
0.73,Very Good,I,VS2,62.4,58.0,5.75,5.73,3.58,2378
0.53,Ideal,G,VVS2,61.9,54.0,5.18,5.24,3.23,1743
0.42,Ideal,E,VVS2,60.9,56.0,4.85,4.81,2.94,1289
0.9,Very Good,D,VS2,63.4,57.0,6.07,6.12,3.86,4761
0.32,Ideal,G,VS1,62.0,57.0,4.34,4.37,2.7,645
1.13,Premium,H,VS2,61.9,59.0,6.7,6.66,4.14,5395
0.91,Good,F,SI2,62.2,62.0,6.07,6.12,3.79,2747
